question;a1;a2;a3;a4;ra;image;topic;marked
3) Abbildung 1: Ein Gebiet ist mit ED-D gekennzeichnet. Das bedeutet es handelt sich um ein;A) Sperrgebiet;B) Gefahrengebiet;C) Flugbeschränkungsgebiet;D) Truppenübungsplatz;2;1;Beschränkungs- und Gefahrengebiete, Zusatz-Bezeichnungen;0
4) Abbildung 1: Was bedeutet die Bezeichnung ED-R auf den ICAO-Luftfahrtkarten für Deutschland?;A) Europa-Deutschland-Luftraum;B) Europa-Deutschland-CTR;C) Europa-Deutschland-Danger Area;D) Europa-Deutschland-Restricted Area;4;1;Beschränkungs- und Gefahrengebiete, Zusatz-Bezeichnungen;0
5) Abbildung 1: Ein Gebiet ist mit ED-R gekennzeichnet. Das bedeutet:;A) Sperrgebiet;B) Gefahrengebiet;C) Flugbeschränkungsgebiet;D) Besonderes Fluginformationsgebiet;3;1;Beschränkungs- und Gefahrengebiete, Zusatz-Bezeichnungen;0
6) Gefahrengebiete in Österreich haben die Bezeichnung;A) LO-D;B) LO-R;C) EO-D;D) EOE-D;1;0;Beschränkungs- und Gefahrengebiete, Zusatz-Bezeichnungen;0
7) Flugbeschränkungsgebiete in Österreich haben die Bezeichnung;A) LO-D;B) LO-R;C) EO-R;D) EOE-R;2;0;Beschränkungs- und Gefahrengebiete, Zusatz-Bezeichnungen;0
8) Abbildung 1: Auf dem geplanten Flugweg liegt ein in der ICAO-Karte mit ED-R bezeichnetes Gebiet. Dies ist ein;A) Sperrgebiet;B) Flugbeschränkungsgebiet, Durchflug auf eigene Verantwortung möglich;C) Gefahrengebiet;D) Flugbeschränkungsgebiet, Durchflug während der Aktivierungszeit verboten;4;1;Beschränkungs- und Gefahrengebiete, Zusatz-Bezeichnungen;0
9) Abbildung 1: Auf dem geplanten Flugweg liegt ein in der ICAO-Karte mit ED-D bezeichnetes Gebiet. Dies ist ein;A) Flugbeschränkungsgebiet, Durchflug während der Aktivierungszeit verboten;B) Flugbeschränkungsgebiet, Durchflug auf eigene Verantwortung möglich;C) Gefahrengebiet, Durchflug auf eigene Gefahr möglich;D) Gefahrengebiet, Durchflug während der Aktivierungszeit verboten;3;1;Beschränkungs- und Gefahrengebiete, Zusatz-Bezeichnungen;0
10) Du findest bei einer Kontrollzone die Abkürzung HX. Dies bedeutet:;A) Die Kontrollzone kann jederzeit aktiviert werden.;B) Die Kontrollzone ist aufgelöst.;C) Die Kontrollzone ist nur bei Tiefflugwetter in Betrieb.;D) Die Wirksamkeit ist normalerweise an Wochenenden und Feiertagen aufgehoben.;1;0;Beschränkungs- und Gefahrengebiete, Zusatz-Bezeichnungen;0
11) Auf dem geplanten Flugweg liegt ein in der ICAO-Karte mit ED-R (Deutschland) bzw. LO-R (Österreich) bezeichnetes Gebiet. Dies ist ein;A) Sperrgebiet;B) Flugbeschränkungsgebiet, Durchflug auf eigene Verantwortung möglich;C) Gefahrengebiet;D) Flugbeschränkungsgebiet, Durchflug während der Aktivierungszeit verboten;4;0;Beschränkungs- und Gefahrengebiete, Zusatz-Bezeichnungen;0
12) Der Einflug in ein Gefahrengebiet;A) ist generell während der Betriebszeiten verboten.;B) ist nie möglich, da durchgehend aktiv.;C) ist nur mit spezieller Erlaubnis möglich.;D) ist auf eigenes Risiko möglich.;4;0;Beschränkungs- und Gefahrengebiete, Zusatz-Bezeichnungen;0
13) Unter welchen Voraussetzungen dürfen Beschränkungsgebiete durchflogen werden?;A) Sichtflugbedingungen und gute Erdsicht - Überlandflug;B) Keine Voraussetzungen - die Freigabe der Flugsicherung für Einflug in den kontrollierten Luftraum ist allgemein erteilt;C) Durchflug grundsätzlich nur außerhalb der Beschränkungszeiten möglich;D) Durchflug immer möglich, aber auf eigene Gefahr;3;0;Beschränkungs- und Gefahrengebiete, Zusatz-Bezeichnungen;0
14) Die Untergrenzen der TMA in Deutschland;A) umfassen die Sektoren C, D, E und G;B) folgen nicht dem topographischen Verlauf der Erdoberfläche;C) sind 1000 ft AGL (Sektor A) oder 1700 ft AGL (Sektor B);D) ist GND;3;0;Beschränkungs- und Gefahrengebiete, Zusatz-Bezeichnungen;0
15) Kann man sich bereits bei den Flugvorbereitungen über die Wirksamkeit von Flugbeschränkungsgebieten informieren?;A) Ja, im Luftfahrthandbuch (AIP), telefonisch beim Flugberatungsdienst (AIS) und auf den Websites von DFS und der Austrocontrol GmbH;B) Ja, anhand der NOTAM;C) Nein, die Bestätigung der Wirksamkeit oder Inaktivität kann nur kurz vor dem Einfliegen über Funk vom FIS gegeben werden;D) Ja, da in der ICAO-Luftfahrtkarte die Zeiten der Wirksamkeit angegeben sind;1;0;Beschränkungs- und Gefahrengebiete, Zusatz-Bezeichnungen;0
16) Innerhalb der Segelflugbeschränkungsgebiete (Glider Restiction Areas) in Deutschland;A) ist der Betrieb von Segelflugzeugen und Luftsportgeräten verboten, Ausnahmen sind möglich;B) ist der Betrieb von Segelflugzeugen und Luftsportgeräten uneingeschränkt zulässig;C) gelten für Luftsportgeräte keine Beschränkungen;D) sind Flüge nur mit unbeschränktem Luftfahrerschein stets zulässig;1;0;Beschränkungs- und Gefahrengebiete, Zusatz-Bezeichnungen;0
1) In den deutschen und österreichischen Luftfahrtkarten ICAO 1:500.000 werden die Höhen von Hindernissen angeben in;A) Fuß über MSL;B) Fuß über Grund;C) Meter über MSL;D) Meter über Grund;1;0;ICAO-Karte, Allgemeines;0
2) Welche Karte ist für die luftraumtechnische Streckenflugplanung maßgeblich?;A) ICAO-Luftfahrtkarten;B) Topographische Karten;C) Karten in Schnittkegelprojektion;D) ICAO-Luftfahrtkarte neueste Ausgabe;4;0;ICAO-Karte, Allgemeines;0
3) Welche Luftfahrtkarte ist zur Durchführung eines Überlandfluges heranzuziehen?;A) Luftstraßenkarte;B) ICAO-Karte 1:50.000;C) ICAO-Karte 1:500.000;D) Streckennavigationskarte;3;0;ICAO-Karte, Allgemeines;0
4) Wie ist ein Flugbeschränkungsgebiet in der ICAO-Karte markiert?;A) Rote Schraffur;B) ED-R.. (Nr) blau umrandet (Schraffur und Außenstrich);C) ED-R.. (Nr) rot umrandet (Schraffur und Außenstrich);D) ZRL.. (Nr);3;0;ICAO-Karte, Allgemeines;0
5) Abbildung 1: Durch welche Bezeichnung werden Gefahrengebiete in Deutschland auf der ICAO-Luftfahrtkarte 1:500.000 gekennzeichnet?;A) ED-D;B) ED-C;C) ED-P;D) ED-G;1;1;ICAO-Karte, Allgemeines;0
6) Eine ICAO-Karte ist eine;A) Flugkarte der NATO mit eingezeichneten strategischen Punkten;B) eine detaillierte topographische Kart.;C) Karte mit Darstellung der Luftraumgliederung;D) orographische Karte;3;0;ICAO-Karte, Allgemeines;0
7) Wie wird in der ICAO-Karte eine Kontrollzone dargestellt?;A) Rot gepunktet;B) Transparent rot mit blau gestricheltem Rand;C) Schwarz gestrichelt;D) Blau umrandet;2;0;ICAO-Karte, Allgemeines;0
8) Was sind Höhen über MSL? Höhen über;A) der Erdoberfläche;B) dem Flugplatz;C) der Standard-Druckfläche;D) dem mittleren Meeresspiegel;4;0;ICAO-Karte, Allgemeines;0
9) Die ICAO-Luftfahrtkarte für Deutschland wird jährlich neu herausgegeben;A) von der ICAO;B) von der Deutschen Flugsicherung GmbH;C) vom Luftfahrtbundesamt;D) vom Bundesamt für Karten und Vermessungswesen;2;0;ICAO-Karte, Allgemeines;0
10) Die ICAO-Luftfahrtkarte für Österreich wird jährlich neu herausgegeben;A) von der Austro Control GmbH;B) vom BMVIT;C) vom Landeshauptmann des jeweiligen Bundeslandes;D) von der DFS;1;0;ICAO-Karte, Allgemeines;0
1) Abbildung 42: Ein Streckenflugtag am Wallberg (Bayern) mit hoher Basis (> 3.500 MSL). Flug Richtung Süden nach Mayrhofen, Zillertal (Tirol). Bis zum Erreichen der Landesgrenze zu Österreich;A) darf an der Basis geflogen werden, weil der Luftraum E im deutschen Alpengebiet von FL 100 auf FL 130 angehoben ist. Bei ca. 3.950 m über 1013,2 hPa beginnt Luftraum C.;B) darf nicht bis zur Basis aufgedreht werden, weil der Luftraum E im deutschen Alpengebiet von FL 130 auf FL 100 abgesenkt ist. Bei ca. 3.050 m über 1013,2 hPa beginnt Luftraum C.;C) darf bis 1.000 ft unter die Basis aufgedreht werden, jedoch nicht höher als (13.000 ft) ca. 3.950 m über Druckfläche 1013,2 hPa..;D) darf bis 1.000 ft unter die Basis aufgedreht werden, jedoch nicht höher als ca. 3.050 m über 1013,2 hPa..;3;42;ICAO-Karte, Kartenbeispiele und Aufgaben;
2) Abbildung 42: Streckenflug vom Wallberg nach Mayrhofen. Du erreichst die Landesgrenze nördlich der Guffertspitze. Auf dem weiteren Flugweg Richtung Rofan,;A) reicht Luftraum E bis FL 125;B) muss mit einer Minimalhöhe von 1.000 ft AGL geflogen werden;C) darf nur mit einer Maximalhöhe von 1.000 ft AGL geflogen werden;D) darf die Flughöhe maximal 9.500 ft MSL betragen;4;42;ICAO-Karte, Kartenbeispiele und Aufgaben;
3) Abbildung 42: Streckenflug vom Wallberg nach Mayrhofen. Im Bereich der Querung des Inntals, südlich des Rofan und des Einflugs ins Zillertal, wird der Verkehr zum/vom Flughafen Innsbruck;A) durch eine CTR geschützt;B) durch eine TMZ geschützt;C) durch die Absenkung des Luftraums D auf 8.500 ft MSL geschützt;D) oberhalb FL 125 geführt;3;42;ICAO-Karte, Kartenbeispiele und Aufgaben;
4) Abbildung 42: Streckenflug vom Wallberg nach Mayrhofen. Im Zillertal, zwischen der Ortschaft Ried und dem Ziel, ist ein Gebiet auf der ICAO-Karte speziell markiert. Was ist das?;A) Ein Gebiet mit Transponderpflicht (TMZ) oberhalb 11.000 ft MSL, ausgenommen der Bereiche unterhalb 1500 ft AGL;B) Ein Gebiet mit Transponderpflicht (TMZ) oberhalb 1500 ft AGL;C) Ein mit vielen Hochspannungsmasten bestandenes Gebiet, hier nicht landen;D) Eine TMZ (Tyrolian Mandatory Zone) zwischen 11.000 ft MSL und FL 125. In diesem Bereich dürfen nur Tiroler fliegen;1;42;ICAO-Karte, Kartenbeispiele und Aufgaben;
5) Abbildung 4: Die blaue Linie mit dem blauem Band auf der Abbildung zeigt;A) die Landesgrenze zwischen Deutschland und Österreich;B) die Grenze der CTR München;C) nördlich der Linie, Luftraum E bis FL 100, südlich der Linie Luftraum E bis FL 130;D) nördlich der Linie, Luftraum E bis FL 130, südlich der Linie Luftraum E bis FL 100;3;4;ICAO-Karte, Kartenbeispiele und Aufgaben;
6) Abbildung 6: Das Gebiet mit roter Linie und roter Schraffierung auf der Abbildung zeigt;A) ein Gefahrengebiet in Deutschland.;B) ein Gebiet mit Flugbeschränkungen in Österreich.;C) ein Gebiet mit luftfahrtrelevanten Vogelvorkommen.;D) ein Gefahrengebiet in Österreich.;4;6;ICAO-Karte, Kartenbeispiele und Aufgaben;
7) Abbildung 7: Die Abbildung zeigt mit blauer Linie markierte Lufträume mit unterschiedlichen Höhenangaben. Bedeutung:;A) Absenkung des Luftraums E innerhalb des markierten Bereichs. Je nach Höhenangabe liegt die Untergrenze von Luftraum E bei 1.000 ft oder 1.700 ft AGL;B) Absenkung des Luftraums E innerhalb des markierten Bereichs. Je nach Höhenangabe liegt die Obergrenze von Luftraum E bei 1.000 ft oder 1.700 ft AGL;C) Absenkung des Luftraums E außerhalb des markierten Bereichs. Je nach Höhenangabe liegt die Obergrenze von Luftraum E bei 1.000 ft oder 1.700 ft AGL;D) Absenkung des Luftraums E außerhalb des markierten Bereichs. Je nach Höhenangabe liegt die Untergrenze von Luftraum E bei 1.000 ft oder 1.700 ft AGL;1;7;ICAO-Karte, Kartenbeispiele und Aufgaben;
8) Abbildung 9: Der in der Abbildung dargestellte Bereich mit grüner Linie und grüner Punktierung und der Signatur 57 03-07 bedeutet:;A) Es handelt sich um ein Beschränkungsgebiet. Kein Einflug zwischen März und Juli jeden Jahres.;B) Es handelt sich um ein Gebiet mit luftfahrtrelevanten Vogelvorkommen (ABA). Zwischen März und Juli sollte möglichst hoch geflogen werden, um brütende Vögel nicht zu beeinträchtigen.;C) Das Gebiet muss stets in FL 57 überflogen werden.;D) Es handelt sich um ein Gebiet mit hoher touristischer Bedeutung und darf nicht während der Monate 03 bis 07 überflogen werden.;2;9;ICAO-Karte, Kartenbeispiele und Aufgaben;
9) Abbildung 37: Auf einem Streckenflug näherst Du Dich dem Gebiet auf der Abbildung. Welche Aussagen sind zu dem blau hinterlegten Bereich richtig?;A) Überflug im Luftraum E erlaubt, wenn eine ständige Höhe von mehr als 1000 ft AGL eingehalten werden kann;B) Überflug und Durchflug verboten;C) Überflug und Durchflug in allen Höhen nur bei ständiger Funk-Hörbereitschaft auf der in blauer Schrift angegebenen Flugfunk-Frequenz erlaubt;D) Durchflug unterhalb von 1000 ft AGL erlaubt;1;37;ICAO-Karte, Kartenbeispiele und Aufgaben;
10) Abbildung 37: Du bist auf einem Streckenflug und führst kein Flugfunk-Gerät mit. Was musst Du beachten, wenn Du Dich dem Gebiet auf der Abbildung näherst?;A) Innerhalb des blau umrandeten Gebietes beginnt der kontrollierte Luftraum bei 1000 ft AGL;B) Innerhalb des blau eingefärbten Gebietes darf ich nicht unterhalb 1000 ft AGL fliegen und keine Außenlandung machen;C) Innerhalb des blau umrandeten Gebietes, aber außerhalb des blau eingefärbten Gebietes darf ich unterhalb von 1000 ft AGL fliegen und auch eine Außenlandung machen;D) Alle sind richtig;4;37;ICAO-Karte, Kartenbeispiele und Aufgaben;
11) Abbildung 38: Abbildung, Ausschnitt ICAO-Karte, bayerisch-österreichisches Grenzgebiet. Du fliegst im Bereich der Guffertspitze. Was ist bezüglich Lufträumen und Höhen zu beachten?;A) Die MNM 1000 AGL bedeuten, dass in diesem Bereich eine Mindestflughöhe von 1000 ft über Grund (AGL) eingehalten werden müssen;B) In diesem Bereich reicht Luftraum G immer mindestens (MNM) bis 1000 ft AGL, größte erlaubte Flughöhe in Luftraum E ist 9500 ft MSL, darüber verbotener Luftraum D;C) In diesem Bereich reicht Luftraum G immer mindestens (MNM) bis 1000 ft MSL, größte erlaubte Flughöhe in Luftraum E ist 9500 ft AGL, darüber verbotener Luftraum D;D) In diesem Bereich darf mit Gleitschirmen und Hängegleitern nur im Luftraum E, zwischen 7500 und 9500 ft MSL geflogen werden;2;38;ICAO-Karte, Kartenbeispiele und Aufgaben;
12) Abbildung 38: Abbildung, Ausschnitt ICAO-Karte, bayerisch-österreichisches Grenzgebiet. Du hast über der Guffertspitze auf 2800 m MSL aufgedreht. Wie verhältst Du Dich richtig?;A) Ich verlasse die Thermik und achte darauf, nicht weiter zu steigen, weil knapp 100 m höher, bei 9500 ft (2895 m) MSL, der verbotene Luftraum D beginnt;B) Ich drehe noch 100 m höher auf bis mein Höhenmesser exakt 2895 m MSL und damit die Grenze zum Luftraum D zeigt und fliege auf dieser Höhe weiter;C) Ich kann locker noch 200 m aufdrehen, weil beim Einflug in den Luftraum D eine Toleranz von 100 m horizontal und vertikal gilt;D) Soweit darf man hier nicht aufdrehen, da maximal 1000 ft AGL geflogen werden darf, über der Guffertspitze (7202 ft MSL) also ca. 8200 ft (2500 m) MSL;1;38;ICAO-Karte, Kartenbeispiele und Aufgaben;
13) Abbildung 39: Interpretiere die in der Abbildung befindlichen Angaben zu den Lufträumen;A) Die blaue Linie mit blauem Band ist eine Luftstraße, die im Luftraum C zwischen FL 130 und FL 660 in Ost-West-Richtung führt. Einflug für Gleitschirme und Hängegleiter verboten;B) Gleitschirme und Drachen dürfen den Bereich der blauen Linie mit blauem Band nicht überfliegen, weil dieser verbotenen Luftraum C darstellt;C) Nördlich der blauen Linie mit blauem Band dürfen Gleitschirme und Hängegleiter bis FL 100 (ca. 3050 m MSL), südlich davon bis FL 130 (ca. 3950 m MSL) fliegen;D) Nördlich der blauen Linie mit blauem Band dürfen maximal 5 Hängegleiter gleichzeitig zwischen 2500 ft AGL und FL 100 fliegen, südlich davon gar keiner;3;39;ICAO-Karte, Kartenbeispiele und Aufgaben;
14) Abbildung 40: Streckenflug vom Fluggelände Laber zum Fluggelände Schönbichel, westlich des Ammersees. Nördlich von Murnau;A) ist die Obergrenze von Luftraum E von FL 130 auf FL 100 abgesenkt und es befindet sich ein Gefahrengebiet in Flugrichtung;B) ist die Obergrenze von Luftraum E von FL 130 auf FL 100 abgesenkt und es befindet sich ein Flugbeschränkungsgebiet in Flugrichtung;C) ist die Obergrenze von Luftraum E von FL 100 auf FL 130 angehoben und es befindet sich ein Gefahrengebiet in Flugrichtung;D) ist die Obergrenze von Luftraum E von FL 100 auf FL 130 angehoben und es befindet sich ein Flugbeschränkungsgebiet in Flugrichtung;2;40;ICAO-Karte, Kartenbeispiele und Aufgaben;
15) Abbildung 40: Streckenflug vom Fluggelände Laber zum Fluggelände Schönbichel, westlich des Ammersees. Nördlich von Murnau befindet sich die ED-R 145 in Flugrichtung. Diese reicht von;A) GND bis 5000 ft AGL;B) GND bis 5000 ft MSL;C) GND bis 5000 m MSL;D) GND bis 5000 m AGL;2;40;ICAO-Karte, Kartenbeispiele und Aufgaben;
16) Abbildung 40: Das AIP gibt zur EDR-145, nördlich von Murnau, folgende Angaben: ED-R 145 Spatzenhausen MON-THU, AH 5000ft MSL, AL GND, Mon: 08:00-SS max. 22:00, Tue: 08:00-SS+2h max. 22:00, Wed: 08:00-SS max. 22:00, Thu: 08:00-SS+2h max. 22:00, Fri: Free, Sat: Free, Sun: Free, Das bedeutet:;A) Freitag bis Sonntag ist die ED-R 145 nicht in Betrieb und darf durchflogen werden;B) Von Montag bis Donnerstag darf die ED-R 145 innerhalb der angegebenen Zeiten durchflogen werden, von Freitag bis Sonntag ist sie in Betrieb;C) Eine ED-R darf von Gleitschirmen und Hängegleitern weder innerhalb noch außerhalb der Beschränkungszeiten durchflogen werden;D) Eine ED-R darf von Gleitschirmen und Hängegleitern auch innerhalb der Beschränkungszeiten auf eigene Gefahr durchflogen werden;1;40;ICAO-Karte, Kartenbeispiele und Aufgaben;
17) Abbildung 40: Streckenflug vom Fluggelände Laber zum Fluggelände Schönbichel, westlich des Ammersees. Nördlich der ED-R 145, bei der Ortschaft Peissenberg;A) markiert die blaue Linie die Anhebung des Luftraums E von FL 100 auf FL 130 (alpiner Bereich);B) markiert die blaue Linie die Absenkung des Luftraums E von FL 130 (alpiner Bereich) auf FL 100;C) markiert die blaue Linie die Grenze der Kontrollzone (CTR) des Flughafens München, in die nicht eingeflogen werden darf;D) markiert die blaue Linie den Nahverkehrsbereich (TMA Sektor A) des Flughafen München, das bedeutet, der kontrollierte Luftraum beginnt bei 1000 ft AGL;4;40;ICAO-Karte, Kartenbeispiele und Aufgaben;
18) Abbildung 40: Streckenflug vom Fluggelände Laber zum Fluggelände Schönbichel, westlich des Ammersees. Auf Deinem Weiterflug von Peissenberg Richtung Ziel musst Du, wegen der thermischen Entwicklung, einen nordöstlichen Kurs nehmen. Zwischen dem Südende des Ammersees und dem Kloster bei Herrsching;A) beginnt die Kontrollzone (CTR) des Flughafens München, Einflug verboten, vorher landen;B) beginnt die Kontrollzone (HX) des Flughafens Oberpfaffenhofen und die ED-R 60, Einflug zu Betriebszeiten verboten;C) wird die Obergrenze von Luftraum E von FL 100 auf FL 85 (ca. 2590 m MSL) abgesenkt;D) beginnt der gesperrte Luftraum C, Einflug strengstens verboten;3;40;ICAO-Karte, Kartenbeispiele und Aufgaben;
19) Abbildung 40: Streckenflug vom Fluggelände Laber zum Fluggelände Schönbichel, westlich des Ammersees. Du befindest Dich in der Nähe des Kloster bei Herrsching, ostsüdöstlich von Deinem Ziel. Die Überquerung des Ammersees ist Dir zu riskant und Du beschließt, auf einer großen, abgemähten Wiese nahe des Klosters zu landen.;A) Gute Idee, das ist das Kloster Andechs mit dem weltberühmten Klosterbier;B) Gute Entscheidung, statt der hochriskanten See-Querung, eine nach § 18 LuftVO erlaubte Außenlandung bei einem Streckenflug durchzuführen;C) Auch auf Streckenflügen sind Landungen nur auf den nach den §§ 6 bzw. 25 LuftVG zugelassenen Landeplätzen erlaubt, also Zähne zusammenbeißen und über den See zu Deinem Ziel fliegen;D) Ich dürfte mich in diesem Bereich gar nicht befinden, da südlich des Klosters bereits der verbotene Luftraum C begonnen hat;2;40;ICAO-Karte, Kartenbeispiele und Aufgaben;
1) Welche Bezeichnung trägt die Lufthülle der Erde?;A) Troposphäre;B) Atmosphäre;C) Homosphäre;D) Stratosphäre;2;0;Atmosphäre, Luftdruck, Luftdichte, Sauerstoff;
2) In welche Schichten wird die Atmosphäre in aufsteigender Reihenfolge eingeteilt?;A) Strato-, Tropo-, Mesosphäre;B) Strato-, Tropo-, Ionosphäre;C) Tropo-, Strato-, Mesosphäre;D) Tropo-, Iono-, Stratosphäre;3;0;Atmosphäre, Luftdruck, Luftdichte, Sauerstoff;
3) Welcher Bestandteil ist in dem Gasgemisch ”Luft” für das Wettergeschehen verantwortlich?;A) Helium;B) Stickstoff;C) Sauerstoff;D) Wasserdampf;4;0;Atmosphäre, Luftdruck, Luftdichte, Sauerstoff;
4) In welchem Bereich der Atmosphäre spielt sich das Wettergeschehen ab?;A) Tropopause;B) Mesosphäre;C) Stratosphäre;D) Troposphäre;4;0;Atmosphäre, Luftdruck, Luftdichte, Sauerstoff;
5) Wo befindet sich in der Atmosphäre immer eine Inversion oder Isothermie?;A) An der Tropopause;B) An allen Wolkenuntergrenzen;C) Am Erdboden;D) Nirgendwo, denn in der Atmosphäre nimmt die Temperatur generell mit der Höhe ab;1;0;Atmosphäre, Luftdruck, Luftdichte, Sauerstoff;
6) Welche Bezeichnung trägt die Obergrenze der Sphäre, in der sich das Wettergeschehen abspielt und wie hoch ungefähr liegt sie in unseren Breiten?;A) Tropopause, 11 km MSL;B) Stratopause, 20 km MSL;C) Tropopause, 20 km MSL;D) Stratopause, 11 km MSL;1;0;Atmosphäre, Luftdruck, Luftdichte, Sauerstoff;
7) Wie ändert sich der prozentuale Anteil des Sauerstoffes in der Troposphäre mit zunehmender Höhe? Er;A) nimmt zu;B) bleibt gleich;C) nimmt ab;D) nimmt je nach Luftdruck ab oder zu;2;0;Atmosphäre, Luftdruck, Luftdichte, Sauerstoff;
8) Wie groß ist der Sauerstoffanteil der Luft in der Troposphäre?;A) 78 %;B) 14 %;C) 50 %;D) 21 %;4;0;Atmosphäre, Luftdruck, Luftdichte, Sauerstoff;
9) In welcher ungefähren Höhe beträgt der atmosphärische Druck die Hälfte des Druckes vom Meeresniveau?;A) 1.500 m MSL;B) 2.500 m MSL;C) 5.500m MSL;D) 7.000 m MSL;3;0;Atmosphäre, Luftdruck, Luftdichte, Sauerstoff;
10) Wie ändert sich der Luftdruck mit der Höhe? Er;A) ändert sich nicht;B) nimmt über alle Höhen konstant um 1 hPa pro 8 m ab;C) nimmt näherungsweise alle 5.500 m um die Hälfte ab;D) nimmt etwa alle 11.000 m um die Hälfte ab;3;0;Atmosphäre, Luftdruck, Luftdichte, Sauerstoff;
11) Welche Maßeinheit für den Luftdruck wird in der Luftfahrt verwendet?;A) at;B) mWS;C) psi;D) hPa;4;0;Atmosphäre, Luftdruck, Luftdichte, Sauerstoff;
12) Die Anzeige eines Höhenmessers kann zu hoch sein, weil;A) der Flug in ein Kaltluftgebiet führt;B) ein zu niedriges QFE benutzt wird;C) der Flug zum höheren Druck gerichtet ist;D) der Flug in ein Tiefdruckgebiet führt;4;0;Atmosphäre, Luftdruck, Luftdichte, Sauerstoff;
13) Bei welchem Höhenunterschied halbieren sich Luftdruck und Luftdichte? Bei etwa;A) 5.500 m;B) 2.500 m;C) 4.000 m;D) 7.000 m;1;0;Atmosphäre, Luftdruck, Luftdichte, Sauerstoff;
14) Obwohl er in seiner Lage nicht verändert wurde, zeigt der Höhenmesser abends 350 ft, am nächsten Morgen 400 ft. Was ist dafür die Ursache?;A) Der Luftdruck ist über Nacht gefallen;B) Er muss verstellt worden sein;C) Es muss ein Defekt am Höhenmesser vorliegen;D) Der Luftdruck ist über Nacht gestiegen;1;0;Atmosphäre, Luftdruck, Luftdichte, Sauerstoff;
15) In welcher Höhe herrscht ein Luftdruck von 900 hPa, wenn in Meereshöhe 1000 hPa gemessen wurde? (Faustregel zur barometrischen Höhenstufe);A) 400 m;B) 800 m;C) 1.600 m;D) 3.200 m;2;0;Atmosphäre, Luftdruck, Luftdichte, Sauerstoff;
16) Wie groß ist der prozentuale Sauerstoffgehalt der Luft in 5.500 m Höhe (500 hPa)?;A) 21 %;B) 10,5 %;C) 78 %;D) 39 %;1;0;Atmosphäre, Luftdruck, Luftdichte, Sauerstoff;
1) Was ist eine Bodeninversion?;A) Starke Abkühlung der bodennahen Luftschicht, verursacht durch Abstrahlung in der Nacht.;B) Relativ warme bodennahe Luftschicht, verursacht durch geringe Abstrahlung in der Nacht z.B. wegen Bewölkung;C) Bodennahe Luftschicht mit Temperaturabnahme in die Höhe;D) Bodennebel;1;0;Atmosphäre, Temperatur, Luftfeuchte;
2) Wie verhält sich normalerweise die Temperatur in der Troposphäre? Sie;A) nimmt mit steigender Höhe zu;B) nimmt mit steigender Höhe ab;C) bleibt immer gleich;D) nimmt erst ab und dann zu;2;0;Atmosphäre, Temperatur, Luftfeuchte;
3) Die relative Luftfeuchte ist definiert als;A) der Wasserdampfgehalt in Gramm pro Kubikmeter feuchter Luft;B) der Wasserdampfgehalt in Gramm pro Kilogramm trockener Luft;C) das Verhältnis des tatsächlich vorhandenen Wasserdampfgehaltes zum maximal möglichen, ausgedrückt in Prozent;D) das Verhältnis des tatsächlich vorhandenen Wasserdampfgehaltes zur absoluten Feuchtigkeit, ausgedrückt in Prozent;3;0;Atmosphäre, Temperatur, Luftfeuchte;
4) Welche Erscheinung tritt in der Regel ein, wenn die Lufttemperatur den Taupunkt erreicht hat und dieser über dem Gefrierpunkt liegt?;A) Niederschlagsausfall;B) Vereisung;C) Kondensation;D) Sublimation;3;0;Atmosphäre, Temperatur, Luftfeuchte;
5) Kondensation erfolgt, wenn folgende Voraussetzungen erfüllt sind:;A) Sättigung und Kondensationskerne;B) Hohe Feuchte und geringer Luftdruck;C) Hohe Luftdichte;D) Dampfdruck gleich Barometerstand;1;0;Atmosphäre, Temperatur, Luftfeuchte;
6) Wie verändert sich die Aufnahmefähigkeit der Luft für Wasserdampf mit der Temperatur? Sie;A) nimmt mit abnehmender Temperatur zu;B) nimmt mit zunehmender Temperatur ab;C) verändert sich überhaupt nicht;D) nimmt mit zunehmender Temperatur zu;4;0;Atmosphäre, Temperatur, Luftfeuchte;
7) Wie verhalten sich Temperatur und Taupunkt in aufsteigender Luft?;A) Die Differenz zwischen Temperatur und Taupunkt wird größer;B) Die Taupunktdifferenz verringert sich;C) Die Taupunktdifferenz bleibt gleich;D) Temperatur und Taupunkt ändern sich nicht;2;0;Atmosphäre, Temperatur, Luftfeuchte;
8) Wie verhalten sich Temperatur und Taupunkt in absinkender Luft?;A) Die Differenz zwischen Temperatur und Taupunkt wird größer;B) Die Taupunktdifferenz verringert sich;C) Die Taupunktdifferenz bleibt gleich;D) Temperatur und Taupunkt ändern sich nicht;1;0;Atmosphäre, Temperatur, Luftfeuchte;
9) Wie lauten die von der ICAO festgelegten Daten der Standardatmosphäre?;A) Relative Feuchte 100%, Temperaturgradient -3°C/1000 ft, Luftdruck in MSL 750 mmHg, Temperatur 15° C in MSL;B) Temperatur 15°C in MSL, relative Feuchte 20%, Temperaturgradient -0,65° C/100 m;C) Luftdruck in MSL 1013,2 hPa, Temperatur 15°C in MSL, relative Feuchte 0%, Temperaturgradient -0,65° C/100 m;D) Temperaturgradient -1°C/100m, Luftdruck in MSL 1013,2 hPa, Temperatur 15°C, relative Feuchte 0% .;3;0;Atmosphäre, Temperatur, Luftfeuchte;
